Ref_Date,GEO,CHAR,DURATION,Vector,Coordinate,Value
2009,Canada,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52856978,1.18.2,28444.0
2010,Canada,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52856978,1.18.2,29120.0
2006,Canada,"Income level, not stated","Total travel (x 1,000)",v52856979,1.19.1,21916.0
2007,Canada,"Income level, not stated","Total travel (x 1,000)",v52856979,1.19.1,22750.0
2008,Canada,"Income level, not stated","Total travel (x 1,000)",v52856979,1.19.1,22198.0
2009,Canada,"Income level, not stated","Total travel (x 1,000)",v52856979,1.19.1,22361.0
2010,Canada,"Income level, not stated","Total travel (x 1,000)",v52856979,1.19.1,23566.0
2006,Canada,"Income level, not stated","Overnight travel (x 1,000)",v52856980,1.19.2,9463.0
2007,Canada,"Income level, not stated","Overnight travel (x 1,000)",v52856980,1.19.2,9636.0
2008,Canada,"Income level, not stated","Overnight travel (x 1,000)",v52856980,1.19.2,9415.0
2009,Canada,"Income level, not stated","Overnight travel (x 1,000)",v52856980,1.19.2,9101.0
2010,Canada,"Income level, not stated","Overnight travel (x 1,000)",v52856980,1.19.2,10177.0
2006,Canada,"Age group, 18 - 19 years","Total travel (x 1,000)",v52856981,1.20.1,9004.0
2007,Canada,"Age group, 18 - 19 years","Total travel (x 1,000)",v52856981,1.20.1,9227.0
2008,Canada,"Age group, 18 - 19 years","Total travel (x 1,000)",v52856981,1.20.1,9593.0
2009,Canada,"Age group, 18 - 19 years","Total travel (x 1,000)",v52856981,1.20.1,9912.0
2010,Canada,"Age group, 18 - 19 years","Total travel (x 1,000)",v52856981,1.20.1,8493.0
2006,Canada,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52856982,1.20.2,4424.0
2007,Canada,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52856982,1.20.2,4234.0
2008,Canada,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52856982,1.20.2,4258.0
2009,Canada,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52856982,1.20.2,4357.0
2010,Canada,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52856982,1.20.2,4007.0
2006,Canada,"Age group, 20 to 24 years","Total travel (x 1,000)",v52856983,1.21.1,21703.0
2007,Canada,"Age group, 20 to 24 years","Total travel (x 1,000)",v52856983,1.21.1,21415.0
2008,Canada,"Age group, 20 to 24 years","Total travel (x 1,000)",v52856983,1.21.1,22109.0
2009,Canada,"Age group, 20 to 24 years","Total travel (x 1,000)",v52856983,1.21.1,21814.0
2010,Canada,"Age group, 20 to 24 years","Total travel (x 1,000)",v52856983,1.21.1,20716.0
2006,Canada,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52856984,1.21.2,10503.0
2007,Canada,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52856984,1.21.2,10255.0
2008,Canada,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52856984,1.21.2,10881.0
2009,Canada,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52856984,1.21.2,9693.0
2010,Canada,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52856984,1.21.2,10966.0
2006,Canada,"Age group, 25 to 34 years","Total travel (x 1,000)",v53006659,1.22.1,41148.0
2007,Canada,"Age group, 25 to 34 years","Total travel (x 1,000)",v53006659,1.22.1,42011.0
2008,Canada,"Age group, 25 to 34 years","Total travel (x 1,000)",v53006659,1.22.1,40103.0
2009,Canada,"Age group, 25 to 34 years","Total travel (x 1,000)",v53006659,1.22.1,44408.0
2010,Canada,"Age group, 25 to 34 years","Total travel (x 1,000)",v53006659,1.22.1,45561.0
2006,Canada,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52856985,1.22.2,17714.0
2007,Canada,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52856985,1.22.2,19186.0
2008,Canada,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52856985,1.22.2,18093.0
2009,Canada,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52856985,1.22.2,19861.0
2010,Canada,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52856985,1.22.2,19600.0
2006,Canada,"Age group, 35 to 44 years","Total travel (x 1,000)",v52856986,1.23.1,40194.0
2007,Canada,"Age group, 35 to 44 years","Total travel (x 1,000)",v52856986,1.23.1,40406.0
2008,Canada,"Age group, 35 to 44 years","Total travel (x 1,000)",v52856986,1.23.1,39337.0
2009,Canada,"Age group, 35 to 44 years","Total travel (x 1,000)",v52856986,1.23.1,41155.0
2010,Canada,"Age group, 35 to 44 years","Total travel (x 1,000)",v52856986,1.23.1,39409.0
2006,Canada,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52856987,1.23.2,16814.0
2007,Canada,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52856987,1.23.2,16327.0
2008,Canada,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52856987,1.23.2,15661.0
2009,Canada,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52856987,1.23.2,16625.0
2010,Canada,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52856987,1.23.2,15427.0
2006,Canada,"Age group, 45 to 54 years","Total travel (x 1,000)",v52856988,1.24.1,41350.0
2007,Canada,"Age group, 45 to 54 years","Total travel (x 1,000)",v52856988,1.24.1,44086.0
2008,Canada,"Age group, 45 to 54 years","Total travel (x 1,000)",v52856988,1.24.1,43898.0
2009,Canada,"Age group, 45 to 54 years","Total travel (x 1,000)",v52856988,1.24.1,47150.0
2010,Canada,"Age group, 45 to 54 years","Total travel (x 1,000)",v52856988,1.24.1,46013.0
2006,Canada,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52856989,1.24.2,16928.0
2007,Canada,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52856989,1.24.2,17409.0
2008,Canada,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52856989,1.24.2,17084.0
2009,Canada,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52856989,1.24.2,18047.0
2010,Canada,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52856989,1.24.2,17502.0
2006,Canada,"Age group, 55 to 64 years","Total travel (x 1,000)",v52856990,1.25.1,31213.0
2007,Canada,"Age group, 55 to 64 years","Total travel (x 1,000)",v52856990,1.25.1,32732.0
2008,Canada,"Age group, 55 to 64 years","Total travel (x 1,000)",v52856990,1.25.1,33772.0
2009,Canada,"Age group, 55 to 64 years","Total travel (x 1,000)",v52856990,1.25.1,35964.0
2010,Canada,"Age group, 55 to 64 years","Total travel (x 1,000)",v52856990,1.25.1,39640.0
2006,Canada,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52856991,1.25.2,11983.0
2007,Canada,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52856991,1.25.2,12685.0
2008,Canada,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52856991,1.25.2,12583.0
2009,Canada,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52856991,1.25.2,13476.0
2010,Canada,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52856991,1.25.2,14905.0
2006,Canada,"Age group, 65 to 69 years","Total travel (x 1,000)",v52856992,1.26.1,9851.0
2007,Canada,"Age group, 65 to 69 years","Total travel (x 1,000)",v52856992,1.26.1,9603.0
2008,Canada,"Age group, 65 to 69 years","Total travel (x 1,000)",v52856992,1.26.1,10674.0
2009,Canada,"Age group, 65 to 69 years","Total travel (x 1,000)",v52856992,1.26.1,11383.0
2010,Canada,"Age group, 65 to 69 years","Total travel (x 1,000)",v52856992,1.26.1,12102.0
2006,Canada,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52856993,1.26.2,3510.0
2007,Canada,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52856993,1.26.2,3538.0
2008,Canada,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52856993,1.26.2,3791.0
2009,Canada,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52856993,1.26.2,4018.0
2010,Canada,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52856993,1.26.2,4195.0
2006,Canada,"Age group, 70 years and over","Total travel (x 1,000)",v52856994,1.27.1,13007.0
2007,Canada,"Age group, 70 years and over","Total travel (x 1,000)",v52856994,1.27.1,15079.0
2008,Canada,"Age group, 70 years and over","Total travel (x 1,000)",v52856994,1.27.1,15013.0
2009,Canada,"Age group, 70 years and over","Total travel (x 1,000)",v52856994,1.27.1,15336.0
2010,Canada,"Age group, 70 years and over","Total travel (x 1,000)",v52856994,1.27.1,17224.0
2006,Canada,"Age group, 70 years and over","Overnight travel (x 1,000)",v52856995,1.27.2,4768.0
2007,Canada,"Age group, 70 years and over","Overnight travel (x 1,000)",v52856995,1.27.2,4908.0
2008,Canada,"Age group, 70 years and over","Overnight travel (x 1,000)",v52856995,1.27.2,5298.0
2009,Canada,"Age group, 70 years and over","Overnight travel (x 1,000)",v52856995,1.27.2,5309.0
2010,Canada,"Age group, 70 years and over","Overnight travel (x 1,000)",v52856995,1.27.2,5540.0
2006,Canada,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52856996,1.28.1,5756.0
2007,Canada,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52856996,1.28.1,5978.0
2008,Canada,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52856996,1.28.1,5541.0
2009,Canada,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52856996,1.28.1,5008.0
2010,Canada,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52856996,1.28.1,4944.0
2006,Canada,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52856997,1.28.2,1936.0
2007,Canada,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52856997,1.28.2,1834.0
2008,Canada,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52856997,1.28.2,1886.0
2009,Canada,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52856997,1.28.2,1674.0
2010,Canada,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52856997,1.28.2,1534.0
2006,Canada,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52856998,1.29.1,9615.0
2007,Canada,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52856998,1.29.1,8989.0
2008,Canada,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52856998,1.29.1,9520.0
2009,Canada,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52856998,1.29.1,9787.0
2010,Canada,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52856998,1.29.1,8720.0
2006,Canada,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52856999,1.29.2,3417.0
2007,Canada,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52856999,1.29.2,3288.0
2008,Canada,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52856999,1.29.2,3214.0
2009,Canada,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52856999,1.29.2,3115.0
2010,Canada,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52856999,1.29.2,3193.0
2006,Canada,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857000,1.30.1,8159.0
2007,Canada,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857000,1.30.1,7650.0
2008,Canada,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857000,1.30.1,7790.0
2009,Canada,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857000,1.30.1,7949.0
2010,Canada,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857000,1.30.1,7718.0
2006,Canada,"Educational attainment, grade 11 to 13 - non graduate","Overnight travel (x 1,000)",v52857001,1.30.2,3207.0
